Timestamp,Build order name?,URL?,Building/unit 1,Building/unit 2,Building/unit 3,Building/unit 4,Building/unit 5,Building/unit 6,Building/unit 7,Building/unit 8,Building/unit 9,Building/unit 10,Building/unit 11,Building/unit 12,Building/unit 13,Building/unit 14,Building/unit 15,Building/unit 16,Building/unit 17,Building/unit 18,Building/unit 19,Building/unit 20,
2/10/2012 11:05:26,4 Warpgate Rush,http://wiki.teamliquid.net/starcraft2/4_Warpgate_Rush,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Stalker,Warpgate Research,Gateway,Gateway,Gateway,Stalker,Pylon,,,,,,,,
2/10/2012 11:07:33,Bischu Anti-4Gate (vs. Protoss),http://wiki.teamliquid.net/starcraft2/Bischu_Anti-4Gate_(vs._Protoss),Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Robotics Facility,Gateway,Gateway,Warpgate Research,Immortal,Zealot,,,,,,,,,
2/10/2012 11:08:26,Immortal Rush (vs Zerg),http://wiki.teamliquid.net/starcraft2/Immortal_Rush_(vs._Zerg),Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Robotics Facility,Zealot,Immortal,,,,,,,,,,,,
2/10/2012 11:26:57,Roger Gate Nexus,http://wiki.teamliquid.net/starcraft2/Gate_Nexus_YufFE,Void Ray,Phoenix,Colossus,Gateway,Pylon,Stargate,Dark Templar,Phoenix,Void Ray,Nexus,Carrier,Colossus,Void Ray,Warp Prism,Sentry,Carrier,Phoenix,Immortal,Sentry,Void Ray,
2/10/2012 14:11:26,Nexus First,http://wiki.teamliquid.net/starcraft2/Nexus_first_%28vs._Terran%29,Pylon,Nexus,Gateway,Pylon,Assimilator,Zealot,Cybernetics Core,Assimilator,Stalker,Robotics Facility,Gateway,Gateway,Gateway,,,,,,,,
2/10/2012 14:16:08,Nexus First,http://wiki.teamliquid.net/starcraft2/Nexus_first_%28vs._Terran%29,Pylon,Nexus,Gateway,Pylon,Assimilator,Zealot,Cybernetics Core,Assimilator,Warpgate Research,Stalker,Gateway,Gateway,Gateway,,,,,,,,
2/10/2012 14:16:40,Nexus First,http://wiki.teamliquid.net/starcraft2/Nexus_first_%28vs._Terran%29,Pylon,Nexus,Gateway,Pylon,Assimilator,Zealot,Cybernetics Core,Assimilator,Warpgate Research,Stalker,Robotics Facility,Gateway,Gateway,Gateway,,,,,,,
2/10/2012 14:22:09,Huk's 20 1 gate 1 FE,http://wiki.teamliquid.net/starcraft2/Huk%27s_20_1gate_FE,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Warpgate Research,Nexus,Gateway,Gateway,Stalker,Pylon,Stalker,Stalker,Stalker,,,,,,,
2/10/2012 14:23:58,1 gate FE into 3 gate robo,http://wiki.teamliquid.net/starcraft2/1_Gate_FE_into_3_Gate_Robo,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Pylon,Stalker,Warpgate Research,Stalker,Nexus,Assimilator,Robotics Facility,Gateway,Gateway,,,,,,
2/10/2012 14:24:57,2 gate pressure into expansion,http://wiki.teamliquid.net/starcraft2/2_Gateway_Pressure_into_Expansion,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Gateway,Gateway,Warpgate Research,Sentry,Phoenix,Stalker,Stalker,Phoenix,Nexus,Stalker,Stalker,,,,
2/10/2012 14:27:54,3 gate void ray all-in,http://wiki.teamliquid.net/starcraft2/Stargate_Opening_into_3_Gate_All-in,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Assimilator,Zealot,Warpgate Research,Stalker,Pylon,Stargate,Sentry,Gateway,Gateway,Void Ray,Pylon,Void Ray,Zealot,Stalker,Stalker,
2/10/2012 14:30:15,Korean 4 gate,http://wiki.teamliquid.net/starcraft2/Korean_4_Warpgate_All_In_%28vs._Protoss%29,Pylon,Gateway,Assimilator,Cybernetics Core,Pylon,Warpgate Research,Gateway,Gateway,Gateway,,,,,,,,,,,,
2/10/2012 14:33:02,Adel's Late Gas PvP,http://wiki.teamliquid.net/starcraft2/Adel%27s_Late_Gas_PvP#Basic_Build_Order,Pylon,Gateway,Pylon,Gateway,Zealot,Assimilator,Pylon,Zealot,Cybernetics Core,Zealot,Zealot,Pylon,Stalker,Stalker,Warpgate Research,,,,,,
2/10/2012 14:36:39,Defensive 3 gate (PvP),http://wiki.teamliquid.net/starcraft2/Defensive_3_Gate_%28vs._Protoss%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Warpgate Research,Stalker,Gateway,Assimilator,Pylon,Sentry,Gateway,Stalker,Stalker,Pylon,,,,,
2/10/2012 14:40:08,3 stalker robo,http://wiki.teamliquid.net/starcraft2/3_Stalker_Robo_%28vs._Protoss%29#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Gateway,Stalker,Warpgate Research,Assimilator,Stalker,Stalker,Pylon,Robotics Facility,Gateway,Sentry,,,,,,
2/10/2012 14:41:53,Tinman 11 gate into 3 gate pressure,http://wiki.teamliquid.net/starcraft2/Tinman_11_Gate_into_3_Gate_Pressure#Basic_Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Stalker,Warpgate Research,Assimilator,Gateway,Gateway,Pylon,Pylon,Pylon,,,,,,,
2/10/2012 14:42:46,4 gate,http://wiki.teamliquid.net/starcraft2/4_Warpgate_Rush_%28vs._Protoss%29#Build_Order,Pylon,Gateway,Assimilator,Pylon,Cybernetics Core,Zealot,Stalker,Gateway,Gateway,Gateway,Stalker,Pylon,,,,,,,,,
